"","Value","Std.Error","DF","t.value","p.value"
"(Intercept)",0.273996818737044,0.332175961967895,525,0.824854444956876,0.409828846582314
"regiondors",0.562628553299636,0.170599245619941,525,3.29795452057891,0.00103990050510276
"regionhead",1.02984557111078,0.168174266979256,525,6.1236810459106,1.79310127388748e-09
"regionmite",0.1248127611668,0.17714592871487,525,0.704575950868712,0.481386596133493
"regionvent",0.464573394163227,0.169386718372742,525,2.74267899293565,0.00630217612778668
"cloacal_temp_C",0.0863032061823401,0.0122819938150851,134,7.02680749410085,9.68911139762089e-11
"regiondewl:mass_g",0.0591557268984818,0.0128353396242843,525,4.60881664452103,5.09036618874969e-06
"regiondors:mass_g",0.0161704286186821,0.0127580273105454,525,1.26747092047029,0.205548843272202
"regionhead:mass_g",-0.00708298586334543,0.0125541572495358,525,-0.56419445149194,0.572862744839103
"regionmite:mass_g",0.0684368871399053,0.0134857508993855,525,5.07475539556524,5.39386565516933e-07
"regionvent:mass_g",0.0553028937884507,0.0126329241553165,525,4.37767955451365,1.44807836274749e-05
