"","Value","Std.Error","DF","t.value","p.value"
"(Intercept)",-45.5704747120979,13.2865793105015,526,-3.42981241801489,0.000651424225265763
"regiondors",12.1048225917752,4.95630743628908,526,2.44230664610233,0.0149219119899451
"regionhead",24.509149630852,4.88718349990171,526,5.01498452663891,7.26298151687694e-07
"regionmite",2.29360864145278,5.14718137615554,526,0.44560478324661,0.656066098352937
"regionvent",8.92843246099324,4.92200412891387,526,1.81398313108759,0.0702499627468205
"mass_g",1.19257122300286,0.366780991804067,130,3.25145318228467,0.0014624892387534
"cloacal_temp_C",1.86217364259605,0.356769550681306,130,5.21954196774905,6.90808016479516e-07
"Wind_mph_interpol",-1.80572499321058,1.3492147063572,130,-1.33835258739948,0.183117597815096
"abs_humidity_g_m3_interpol",1.51162151496255,1.03657596889845,130,1.45828338714906,0.147174187319942
"regiondors:mass_g",-1.02884614727196,0.450911177000397,526,-2.2817046898597,0.0229054366522749
"regionhead:mass_g",-1.62053928589516,0.445819014861129,526,-3.63497121449598,0.000305329048684313
"regionmite:mass_g",0.387288907045967,0.466640272076921,526,0.829951742746554,0.406942577923599
"regionvent:mass_g",0.162229275825654,0.447967104949512,526,0.362145510313617,0.717388742815396
"temp_C_interpol:abs_humidity_g_m3_interpol",0.0158968660609312,0.0238784853625011,130,0.665740134669332,0.506756763278744
