"","Estimate","Std..Error","t.value"
"(Intercept)",-0.154944873005898,0.447127320611796,-0.346534120961093
"region.L",0.412262011096246,0.534090537377647,0.771895366505515
"region.Q",1.31412192413014,0.533302268142367,2.46412213604036
"region.C",2.31310032689165,0.53186182525376,4.34906251409947
"region^4",1.13922093191374,0.529869119528634,2.15000438773857
"mass_g",0.0397960129293736,0.00887139451112389,4.48588019386052
"temp_C_interpol",-0.00777815048476775,0.0105557708056679,-0.736862388163193
"abs_humidity_g_m3_interpol",0.0612028589102356,0.0402035337462524,1.52232535817677
"cloacal_temp_C",0.0853840980394919,0.0136775756746105,6.24263393387683
"Solar_rad_Wm2_interpol",0.000424470221838202,0.000179372664822006,2.36641531896407
"region.L:mass_g",0.0332151762641732,0.0117162894926295,2.83495694477917
"region.Q:mass_g",0.0144976469117501,0.0115853911917976,1.2513731018435
"region.C:mass_g",0.00266800184446391,0.0115025566598936,0.231948593982288
"region^4:mass_g",-0.0384014155667372,0.0113166684158937,-3.39334989375534
"region.L:temp_C_interpol",0.0545096712924034,0.0113764894468916,4.79143162281025
"region.Q:temp_C_interpol",-0.0158023784697724,0.0114181935421673,-1.38396484622671
"region.C:temp_C_interpol",-0.00911567311986018,0.0114741546387031,-0.794452698860484
"region^4:temp_C_interpol",-0.0384680495892149,0.0114723458666731,-3.3531110407823
"region.L:abs_humidity_g_m3_interpol",-0.17468642723688,0.0451830555348982,-3.86619331448172
"region.Q:abs_humidity_g_m3_interpol",-0.121294276759872,0.0450859250862435,-2.6902914053078
"region.C:abs_humidity_g_m3_interpol",-0.175391563125845,0.0449945974759193,-3.89805827732348
"region^4:abs_humidity_g_m3_interpol",0.0040198223848307,0.0448132092580708,0.0897017297217277
