"","Value","Std.Error","DF","t.value","p.value"
"(Intercept)",-0.274903188296858,0.480275917547951,526,-0.5723859520177,0.567305087132443
"regiondors",0.563151214848569,0.170624632464509,526,3.30052705001845,0.0010304802493699
"regionhead",1.03114875251568,0.168213280815998,526,6.13000797269751,1.72568827643438e-09
"regionmite",0.119521557404131,0.177193880936238,526,0.67452418092891,0.500274463621345
"regionvent",0.467875566840244,0.169424119367159,526,2.76156410662116,0.00595359356622046
"mass_g",0.0563025949407948,0.0128881529887054,130,4.36855420556661,2.53316252899717e-05
"cloacal_temp_C",0.0777459825059049,0.0129312424531965,130,6.0122592850068,1.73170697239222e-08
"Wind_mph_interpol",-0.0350349878714125,0.0489097897135648,130,-0.716318513667537,0.475079528488305
"abs_humidity_g_m3_interpol",0.0890320865179269,0.0375774660760166,130,2.36929457504722,0.0192935136893177
"regiondors:mass_g",-0.0430395326815378,0.0155222777069431,526,-2.77275883695126,0.00575549833849238
"regionhead:mass_g",-0.0663447385311539,0.0153442939552032,526,-4.32374006421173,1.83551429998081e-05
"regionmite:mass_g",0.00970680895433113,0.0160637535464131,526,0.604267796208725,0.545926150680209
"regionvent:mass_g",-0.00413796892302954,0.01541929239246,526,-0.268363088117649,0.78852506266697
"temp_C_interpol:abs_humidity_g_m3_interpol",0.000101725692393377,0.000865452804477914,130,0.117540427238829,0.906613218083514
