"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"11","(model 16) ~ ",22,4341.50780793254,0,1,0.920231603600617,-2147.82885826243,0.920231603600617
"12","(model 17) ~ ",21,4346.47644732885,4.96863939631203,0.0833822603268169,0.0767309911323908,-2151.39515797099,0.996962594733008
"13","(model 18) ~ ",20,4353.11811967375,11.6103117412085,0.00301198523653813,0.00277172400424087,-2155.79403251447,0.999734318737249
"14","(model 19) ~ ",19,4357.8196165412,16.3118086086615,0.000287035601077702,0.000264139231470201,-2159.21889917969,0.999998457968719
"7","(model 12) ~ ",29,4369.23976189254,27.7319539600048,9.50785853587465e-07,8.74943190727574e-07,-2154.00876983516,0.99999933291191
"8","(model 13) ~ ",28,4371.07017506199,29.562367129457,3.80726881730405e-07,3.50356908908633e-07,-2156.03416331658,0.999999683268819
"9","(model 14) ~ ",27,4372.66465626356,31.156848331023,1.71544322154446e-07,1.57860506664766e-07,-2157.93749418344,0.999999841129325
"10","(model 15) ~ ",26,4373.19780757082,31.6899996382863,1.31402616430362e-07,1.20920840435028e-07,-2159.30608610585,0.999999962050166
"2","(model 7) ~ ",37,4377.29744293046,35.7896349979237,1.69191875855103e-08,1.55695711234338e-08,-2149.00586432237,0.999999977619737
"6","(model 11) ~ ",30,4377.5737895356,36.0659816030648,1.47357282102648e-08,1.35602828011548e-08,-2157.0614773281,0.99999999118002
"1","(model 6a) ~",41,4378.6061505456,37.0983426130624,8.79421861853739e-09,8.09271790175107e-09,-2145.04171163644,0.999999999272738
"5","(model 10) ~ ",31,4384.43212802781,42.9243200952706,4.7764179479685e-10,4.39541074772583e-10,-2159.3721978429,0.999999999712279
"3","(model 8) ~ ",33,4386.13165323305,44.6238453005162,2.04199705939934e-10,1.87911022851879e-10,-2157.97254303444,0.99999999990019
"4","(model 9) ~ ",32,4387.39704542228,45.8892374897468,1.0846227005275e-10,9.98104087008051e-11,-2159.73204226421,1
"15","null model",3,4509.5471303549,168.039322422365,3.24134131289405e-37,2.98278471418142e-37,-2251.75236376402,1
