"","Difference","95% Confidence Interval Lower Limit","95% Confidence Interval Upper Limit","Adjusted p-value"
"Ventrum-Dorsum",9.36063829787239,5.32376273093111,13.3975138648137,1.76249859151767e-09
"Head-Dorsum",6.39088652482271,2.35401095788143,10.427762091764,0.000166205335567438
"Dewlap-Dorsum",-1.254852288382,-5.30622296683292,2.79651839006893,0.915691099497372
"Mite Patch-Dorsum",5.32351141481602,1.25727636601942,9.38974646361263,0.00336298709370197
"Head-Ventrum",-2.96975177304968,-7.00662733999097,1.0671237938916,0.261229340432255
"Dewlap-Ventrum",-10.6154905862544,-14.6668612647053,-6.56411990780347,0
"Mite Patch-Ventrum",-4.03712688305637,-8.10336193185298,0.0291081657402374,0.0527255813694973
"Dewlap-Head",-7.64573881320471,-11.6971094916556,-3.59436813475378,3.17645440661707e-06
"Mite Patch-Head",-1.06737511000669,-5.13361015880329,2.99885993878992,0.952388127305547
"Mite Patch-Dewlap",6.57836370319802,2.4977378316795,10.6589895747165,0.000117162709835084
