"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",-0.161968110377933,0.371730660380753,-0.435713616444859,168.474187579375,0.663602268649876
"2","fixed",NA,"dayAfter",0.515264794974666,0.0593095462043906,8.68772108285869,305.809654133804,2.273945692722e-16
"3","fixed",NA,"humidity_tmt_percentDry",0.0320916460382414,0.0802875580553282,0.399708831798399,45.512770259365,0.691240713289296
"4","fixed",NA,"regionVentrum",0.48102011342969,0.0598437991171394,8.03792741313318,285.535740341179,2.43782690608875e-14
"5","fixed",NA,"regionHead",0.125912412244079,0.0598437991171394,2.10401769442504,285.535740347356,0.0362512085437754
"6","fixed",NA,"regionDewlap",0.0814347273865086,0.0601115408639178,1.35472699944363,285.638330322184,0.176575085171768
"7","fixed",NA,"regionMite Patch",0.0570429313106672,0.0603629406850029,0.94499921082936,285.844977637652,0.345457372944357
"8","fixed",NA,"cloacal_temp_C",0.13640746192943,0.0149626495060721,9.11653125832252,272.089203012456,1.76094442404629e-17
"9","fixed",NA,"dayAfter:humidity_tmt_percentDry",-0.653760882448256,0.0767557117185377,-8.51742323549275,288.04560142241,9.20742478728427e-16
"10","ran_pars","individual_ID:trial_number","sd__(Intercept)",0.166948628503167,NA,NA,NA,NA
"11","ran_pars","trial_number","sd__(Intercept)",0.19928498568591,NA,NA,NA,NA
"12","ran_pars","Residual","sd__Observation",0.342346905049479,NA,NA,NA,NA
