"","date","Time","individual_ID","region","TEWL_g_m2h","CV","SSWL_g_m2","ambient_temp_C","ambient_RH_percent","CEWL_date_time","abs_humidity_g_m3"
"1",2021-04-05,"13:24:15",1,"dors",14.86,0.45,0.062952,23.2,41.6,2021-04-05 13:24:15,8.6489608966372
"2",2021-04-05,"13:26:54",1,"vent",12.81,0.58,0.1907776,23.2,41.5,2021-04-05 13:26:54,8.62817012525105
"3",2021-04-05,"13:28:40",1,"dewl",13.17,0.56,0.0795,23.2,41.7,2021-04-05 13:28:40,8.66975166802335
"4",2021-04-05,"13:29:36",1,"head",26.68,0.27,0,23.2,41.8,2021-04-05 13:29:36,8.69054243940949
"5",2021-04-05,"13:31:03",1,"mite",11.35,0.64,0.12423,23.2,41.6,2021-04-05 13:31:03,8.6489608966372
"6",2021-04-05,"13:33:31",2,"dors",26.29,0.27,0,23.3,41.6,2021-04-05 13:33:31,8.69848279563242
"7",2021-04-05,"13:34:16",2,"vent",32.64,0.13,3.5e-05,23.2,41.6,2021-04-05 13:34:16,8.6489608966372
"8",2021-04-05,"13:36:19",2,"dewl",9.6,0.73,0.1510756,23.2,41.7,2021-04-05 13:36:19,8.66975166802335
"9",2021-04-05,"13:37:05",2,"head",26.83,0.23,1.5e-05,23.1,41.9,2021-04-05 13:37:05,8.66169984684974
"10",2021-04-05,"13:39:13",2,"mite",17.82,0.42,0.1159024,23.1,41.8,2021-04-05 13:39:13,8.64102753217945
"11",2021-04-05,"13:42:43",3,"dors",26.35,0.26,1.47e-05,23.2,41.6,2021-04-05 13:42:43,8.6489608966372
"12",2021-04-05,"13:44:19",3,"vent",20.94,0.34,0.0938,23.2,41.4,2021-04-05 13:44:19,8.60737935386491
"13",2021-04-05,"13:46:19",3,"dewl",21.75,0.34,0.1354557,23.2,41.5,2021-04-05 13:46:19,8.62817012525105
"14",2021-04-05,"13:47:26",3,"head",28.91,0.25,0.0124,23.3,41.3,2021-04-05 13:47:26,8.63575335239469
"15",2021-04-05,"13:48:17",3,"mite",37.05,0.13,0,23.3,41.3,2021-04-05 13:48:17,8.63575335239469
"16",2021-04-05,"13:51:33",4,"dors",21.52,0.29,0.139052,23.3,41.4,2021-04-05 13:51:33,8.65666316680726
"17",2021-04-05,"13:55:58",4,"vent",12.82,0.58,0.1693809,23.3,41.2,2021-04-05 13:55:58,8.61484353798211
"18",2021-04-05,"13:57:52",4,"dewl",13.33,0.55,0.2025617,23.4,41,2021-04-05 13:57:52,8.62207292410125
"19",2021-04-05,"13:58:40",4,"head",56.04,0.1,1.74e-05,23.4,41,2021-04-05 13:58:40,8.62207292410125
"20",2021-04-05,"13:59:57",4,"mite",34.17,0.2,0.0705,23.3,41.3,2021-04-05 13:59:57,8.63575335239469
"21",2021-04-05,"14:01:47",5,"dors",46.24,0.08,2.31e-05,23.4,41.1,2021-04-05 14:01:47,8.64310237025759
"22",2021-04-05,"14:04:01",5,"vent",14.64,0.5,0.2806472,23.3,41.2,2021-04-05 14:04:01,8.61484353798211
"23",2021-04-05,"14:05:17",5,"dewl",21.58,0.31,0.0537,23.2,41.2,2021-04-05 14:05:17,8.56579781109261
"24",2021-04-05,"14:06:08",5,"head",60.16,0.1,6.55e-05,23.2,41.3,2021-04-05 14:06:08,8.58658858247876
"25",2021-04-05,"14:08:41",5,"mite",15.05,0.44,0.2951735,23.2,41.3,2021-04-05 14:08:41,8.58658858247876
"26",2021-04-05,"14:12:34",6,"dors",14.91,0.47,0.1093559,23.2,41.2,2021-04-05 14:12:34,8.56579781109261
"27",2021-04-05,"14:14:27",6,"vent",19.44,0.38,0.2056886,23.1,41.4,2021-04-05 14:14:27,8.55833827349831
"28",2021-04-05,"14:16:24",6,"dewl",15.79,0.41,0.1289933,23.3,40.9,2021-04-05 14:16:24,8.55211409474438
"29",2021-04-05,"14:18:29",6,"head",22.06,0.31,0.1265189,23.1,41.3,2021-04-05 14:18:29,8.53766595882802
"30",2021-04-05,"14:20:03",6,"mite",12.54,0.55,0.1571461,23.1,41.3,2021-04-05 14:20:03,8.53766595882802
"31",2021-04-05,"14:22:49",7,"dors",19.76,0.38,0.0255,23.2,41.3,2021-04-05 14:22:49,8.58658858247876
"32",2021-04-05,"14:23:39",7,"vent",39.52,0.18,2.46e-05,23.3,41.1,2021-04-05 14:23:39,8.59393372356953
"33",2021-04-05,"14:25:57",7,"dewl",21.2,0.35,0.2193066,23.3,41.3,2021-04-05 14:25:57,8.63575335239469
"34",2021-04-05,"14:26:39",7,"head",32.21,0.04,2.37e-05,23.4,41.4,2021-04-05 14:26:39,8.70619070872663
"35",2021-04-05,"14:29:09",7,"mite",21.15,0.32,0.2125164,23.2,41.7,2021-04-05 14:29:09,8.66975166802335
"36",2021-04-05,"14:32:21",8,"dors",16.12,0.44,0.072,23.2,41.8,2021-04-05 14:32:21,8.69054243940949
"37",2021-04-05,"14:33:39",8,"vent",18.07,0.34,0.0382,23.2,42,2021-04-05 14:33:39,8.73212398218179
"38",2021-04-05,"14:36:06",8,"dewl",8.66,0.76,0.289077,23.2,41.9,2021-04-05 14:36:06,8.71133321079564
"39",2021-04-05,"14:36:53",8,"head",35.43,0.14,1.11e-05,23.3,41.8,2021-04-05 14:36:53,8.74030242445758
"40",2021-04-05,"14:47:08",9,"dors",13.75,0.54,0.0828,23.2,41.7,2021-04-05 14:47:08,8.66975166802335
"41",2021-04-05,"14:49:09",9,"vent",11.94,0.57,0.2459683,23.2,41.5,2021-04-05 14:49:09,8.62817012525105
"42",2021-04-05,"14:51:00",9,"dewl",8.14,0.91,0.1640376,23.3,41.3,2021-04-05 14:51:00,8.63575335239469
"43",2021-04-05,"14:51:49",9,"head",42.42,0.1,0,23.2,41.5,2021-04-05 14:51:49,8.62817012525105
"44",2021-04-05,"14:52:57",9,"mite",19.07,0.35,0.0597,23.3,41.4,2021-04-05 14:52:57,8.65666316680726
"45",2021-04-05,"14:55:39",10,"dors",20.28,0.34,0.0596,23.1,41.9,2021-04-05 14:55:39,8.66169984684974
"46",2021-04-05,"14:57:20",10,"vent",20.21,0.36,0.1403472,23.1,41.8,2021-04-05 14:57:20,8.64102753217945
"47",2021-04-05,"14:59:34",10,"dewl",12.04,0.6,0.2187166,23.2,41.6,2021-04-05 14:59:34,8.6489608966372
"48",2021-04-05,"15:00:20",10,"head",31.46,0.21,0,23.2,41.6,2021-04-05 15:00:20,8.6489608966372
"49",2021-04-05,"15:04:32",10,"mite",26.57,0.26,0.0132,23.2,41.7,2021-04-05 15:04:32,8.66975166802335
"50",2021-04-05,"15:07:40",11,"dors",16.87,0.43,0.0712,23.2,42,2021-04-05 15:07:40,8.73212398218179
"51",2021-04-05,"15:09:55",11,"vent",18.5,0.39,0.2234525,23.3,41.7,2021-04-05 15:09:55,8.719392610045
"52",2021-04-05,"15:11:40",11,"dewl",12.67,0.56,0.1545879,23.3,41.4,2021-04-05 15:11:40,8.65666316680726
"53",2021-04-05,"15:12:25",11,"head",21.61,0.34,0.00136,23.4,41.3,2021-04-05 15:12:25,8.68516126257028
"54",2021-04-05,"15:14:14",11,"mite",14.2,0.52,0.1404108,23.4,41.3,2021-04-05 15:14:14,8.68516126257028
"55",2021-04-05,"15:16:49",12,"dors",21.03,0.35,0.038,23.4,41.2,2021-04-05 15:16:49,8.66413181641393
"56",2021-04-05,"15:21:48",12,"vent",13.37,0.53,0.1731905,23.3,41.4,2021-04-05 15:21:48,8.65666316680726
"57",2021-04-05,"15:23:18",12,"dewl",12.4,0.6,0.0919,23.4,41.2,2021-04-05 15:23:18,8.66413181641393
"58",2021-04-05,"15:24:07",12,"head",31.03,0.21,0.000339,23.3,41.4,2021-04-05 15:24:07,8.65666316680726
"59",2021-04-05,"15:25:40",12,"mite",18.41,0.31,0.1098817,23.2,41.5,2021-04-05 15:25:40,8.62817012525105
"60",2021-04-05,"15:28:57",13,"dors",11.25,0.61,0.191704,23.4,41.3,2021-04-05 15:28:57,8.68516126257028
"61",2021-04-05,"15:33:16",13,"vent",13.26,0.53,0.2551675,23.5,41,2021-04-05 15:33:16,8.67136430304105
"62",2021-04-05,"15:34:31",13,"dewl",14.56,0.4,0.0667,23.3,41.3,2021-04-05 15:34:31,8.63575335239469
