#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,04/14/2021 12:46:33,23.02,38.53,8.16,,
2,04/14/2021 13:16:33,22.63,37.81,7.53,,
3,04/14/2021 13:46:33,23.73,37.23,8.29,,
4,04/14/2021 14:16:33,31.07,11.18,-2.61,,
5,04/14/2021 14:46:33,34.32,7.39,-5.68,,
6,04/14/2021 15:16:33,32.54,6.29,-9.07,,
7,04/14/2021 15:46:33,33.76,7.48,-5.94,,
8,04/14/2021 16:16:33,33.64,5.36,-10.29,,
9,04/14/2021 16:46:33,33.09,6.82,-7.63,,
10,04/14/2021 17:16:33,34.04,5.66,-9.32,,
11,04/14/2021 17:46:33,32.92,5.87,-9.66,,
12,04/14/2021 18:16:33,33.63,5.76,-9.40,,
13,04/14/2021 18:46:33,33.27,5.45,-10.36,,
14,04/14/2021 19:16:33,33.45,5.44,-10.26,,
15,04/14/2021 19:46:33,33.38,5.54,-10.06,,
16,04/14/2021 20:16:33,33.44,5.42,-10.31,,
17,04/14/2021 20:46:33,33.42,5.45,-10.24,,
18,04/14/2021 21:16:33,33.42,5.60,-9.90,,
19,04/14/2021 21:46:33,36.27,21.19,10.60,,
20,04/14/2021 22:16:33,35.34,9.62,-1.41,,
21,04/14/2021 22:46:33,35.77,9.90,-0.70,,
22,04/14/2021 23:16:33,35.92,8.91,-2.03,,
23,04/14/2021 23:46:33,35.90,8.47,-2.71,,
24,04/15/2021 00:16:33,35.90,8.04,-3.41,,
25,04/15/2021 00:46:33,35.87,7.85,-3.75,,
26,04/15/2021 01:16:33,35.90,7.66,-4.06,,
27,04/15/2021 01:46:33,35.94,7.55,-4.23,,
28,04/15/2021 02:16:33,35.92,7.36,-4.59,,
29,04/15/2021 02:46:33,35.93,7.32,-4.65,,
30,04/15/2021 03:16:33,35.93,7.26,-4.74,,
31,04/15/2021 03:46:33,35.93,7.15,-4.96,,
32,04/15/2021 04:16:33,35.93,7.11,-5.03,,
33,04/15/2021 04:46:33,35.92,7.02,-5.21,,
34,04/15/2021 05:16:33,35.92,7.00,-5.24,,
35,04/15/2021 05:46:33,35.90,6.98,-5.29,,
36,04/15/2021 06:16:33,35.92,6.94,-5.35,,
37,04/15/2021 06:46:33,35.95,6.96,-5.30,,
38,04/15/2021 07:16:33,35.95,6.90,-5.40,,
39,04/15/2021 07:46:33,35.93,7.00,-5.24,,
