date,individual_ID,blood_sample_eye,mass_g,time,cloacal_temp_C,hematocrit_percent,osmolality_mmol_kg_replicate_mean,hemolyzed?,type,notes
4/21/21,35,L,9.8,12:10,29,35,348,Y,exp,
4/21/21,31,L,12.2,12:16,27,33,333,N,exp,
4/21/21,43,L,13.4,12:23,27,35,358,Y,exp,
4/21/21,32,L,12.9,12:33,32,38,359,Y,exp,
4/21/21,53,L,11.3,12:36,34,41,397,N,exp,
4/21/21,40,L,12.3,12:42,26,16,339,N,exp,
4/21/21,52,L,11.8,12:48,27,42,367,Y,exp,
4/21/21,37,L,11.8,12:53,28,30,338,Y,exp,
4/21/21,33,,8.2,,,,,,exp,died
4/21/21,39,L,7.7,13:04,30,36,385,Y,exp,
4/21/21,47,L,7.9,13:10,27,30,354,Y,exp,
4/21/21,49,L,12.7,13:16,27,31,357,Y,exp,
4/23/21,43,R,12.3,12:14,30,28,364,Y,exp,
4/23/21,31,R,11.4,12:22,29,28,374,Y,exp,
4/23/21,47,R,7.5,12:31,26,21,351,Y,exp,
4/23/21,49,R,12.4,12:43,30,35,342,Y,exp,small blood sample
4/23/21,39,R,7.5,12:50,28,28,355,Y,exp,
4/23/21,52,R,11.5,12:58,28,29,351,Y,exp,
4/23/21,37,R,11.7,13:04,27,32,344,Y,exp,
4/23/21,40,R,12.1,13:09,23,17,313,N,exp,
4/23/21,53,,10.3,,,,,,exp,died
4/23/21,32,,12,,,,,,exp,died
4/23/21,35,,8.9,,,,,,exp,died
4/25/21,37,L,11,11:28,30,20,370,N,exp,
4/25/21,40,L,11.7,11:35,28,19,379,N,exp,
4/25/21,52,L,11.1,11:43,31,29,378,Maybe,exp,
4/25/21,39,L,6.9,11:51,28,12,353,N,exp,
4/25/21,49,L,11.9,11:57,27,22,373,N,exp,
4/25/21,47,L,7.2,12:05,28,21,369,N,exp,
4/28/21,40,R,11.7,12:28,27,23,395,Y,exp,slightly hemolized
4/28/21,37,R,10.8,12:32,27,19,395,N,exp,
4/28/21,47,R,6.9,12:37,27,17,394,N,exp,
4/28/21,52,R,11,12:42,30,28,359,Y,exp,
4/28/21,39,R,6.7,12:50,27,16,384,Y,exp,
4/28/21,49,R,11.5,12:56,28,23,404,Y,exp,
4/30/21,80,L,14.2,10:43,21,24,358,N,exp,"lost 1st sample, processed 2nd sample from L eye"
4/30/21,64,L,9.9,10:47,24,20,375,Y,exp,"lost 1st sample, processed 2nd sample from L eye, slightly hemolyzed"
4/30/21,66,L,13.1,10:52,22,30,368,Y,exp,"lost 1st sample, processed 2nd sample from L eye, hemolyzed"
4/30/21,69,L,13.2,10:57,22,32,365,N,exp,"lost 1st sample, processed 2nd sample from L eye"
4/30/21,54,R,11,11:01,22,37,369,Y,exp,"he ate a little piece of tissue, slightly hemolyzed"
4/30/21,61,Both,10.4,11:06,23,35,394,N,exp,
4/30/21,74,R,11.1,11:15,23,29,379,N,exp,
4/30/21,73,Both,9.1,11:25,24,37,373,N,exp,
4/30/21,40,L,12,11:40,33,18,441,Y,rehab,"lost 1st sample, processed 2nd sample from L eye, hemolyzed"
4/30/21,39,L,6.7,11:43,28,14,416,Y,rehab,"lost 1st sample, processed 2nd sample from L eye, slightly hemolyzed"
4/30/21,37,L,10.1,11:48,24,22,411,N,rehab,"lost 1st sample, processed 2nd sample from L eye"
4/30/21,52,L,10.4,11:53,22,24,381,N,rehab,"lost 1st sample, processed 2nd sample from L eye"
4/30/21,49,L,11,11:57,27,24,378,N,rehab,
5/4/21,80,R,13.1,9:15,30,25,390,N,exp,
5/4/21,74,L,10.2,9:30,31,27,426,Y,exp,hemolyzed
5/4/21,66,R,12.5,9:40,29,32,405,N,exp,
5/4/21,61,R,9.6,9:35,23,29,420,N,exp,
5/4/21,73,R,8.6,9:47,29,28,410,N,exp,
5/4/21,54,R,11,9:42,22,25,396,N,exp,
5/4/21,64,,9.3,,,,,,exp,died
5/4/21,87,,14.1,,,,,,exp,died
5/4/21,69,,12.7,,,,,,exp,died
5/6/21,74,L,9.6,11:08,29,23.5,389,N,rehab,second blood sample taken today (osmometer issues)
5/6/21,61,L,11.1,11:17,32,21,387,N,rehab,
5/6/21,80,R,14,11:20,33,15,349,N,rehab,
5/6/21,66,R,11.9,11:25,29,27,343.6666667,N,rehab,
5/6/21,54,R,11.8,11:30,32,22,379,N,rehab,
5/6/21,73,R,8.8,11:32,30,23,386,N,rehab,
5/7/21,92,L,10,13:20,25,37,329,Y,exp,slightly hemolyzed
5/7/21,91,L,10.2,13:24,24,30,321,N,exp,
5/7/21,95,L,11.9,13:28,23,24,323,N,exp,
5/7/21,88,L,13.3,13:33,23,43,341,N,exp,
5/7/21,93,L,11.4,13:39,27,22,348,Y,exp,hemolyzed
5/7/21,96,L,12.9,13:43,23,27,323,N,exp,
5/7/21,98,L,12.7,13:47,25,28,346,N,exp,
5/7/21,89,L,12.2,13:51,24,24,355,N,exp,
5/7/21,99,L,13.3,13:53,23,26,323,N,exp,
5/7/21,81,L,11.6,13:57,24,33,343,N,exp,
5/7/21,97,L,12.2,14:00,25,30,330,Y,exp,slightly hemolyzed
5/11/21,93,R,11,8:09,23,24,337.3333333,,exp,
5/11/21,98,R,12.2,8:14,23,32,351.3333333,Y,exp,hemolyzed
5/11/21,91,R,9.7,8:20,23,21,337.3333333,,exp,
5/11/21,92,R,9.8,8:25,24,24,343,,exp,
5/11/21,81,R,11.1,8:29,24,35,365.6666667,Y,exp,hemolyzed
5/11/21,89,R,11.7,8:33,23,32,369.6666667,Y,exp,hemolyzed
5/11/21,97,R,11.5,8:43,25,34,364,,exp,
5/11/21,96,R,12.7,8:49,25,34,364,,exp,
5/11/21,95,R,11.1,8:55,24,22,364,,exp,
5/11/21,88,R,12.8,8:59,23,39,348,Y,exp,hemolyzed
5/11/21,99,R,12.9,9:05,20,28,334.6666667,,exp,
5/13/21,88,R,13.7,10:09,24,35,333.3333333,,rehab,
5/13/21,89,L,11,10:11,28,25,358.3333333,,rehab,
5/13/21,93,L,10.3,10:16,26,17,354.6666667,,rehab,
5/13/21,95,L,11.2,10:22,28,17,378.6666667,,rehab,
5/13/21,91,R,10.7,10:29,28,21,369.6666667,,rehab,
5/13/21,98,L,13.5,10:33,29,24,355,,rehab,
5/13/21,97,L,11,10:37,26,26,298,,rehab,
5/13/21,96,R,11.9,10:42,31,33,362,,rehab,
5/13/21,99,R,11.7,10:49,23,21,341,Y,rehab,hemolyzed
5/13/21,81,R,10.8,10:55,24,30,352.3333333,Y,rehab,hemolyzed
5/13/21,92,L,9.2,11:01,29,25,355.6666667,,rehab,
5/20/21,104,,12.8,12:13,30,,,,rehab,Bit me grr
5/20/21,108,,8.5,12:21,32,,,,rehab,
5/20/21,122,,10.3,12:24,33,,,,rehab,
5/20/21,118,,8.8,12:32,28,,,,rehab,
5/20/21,109,,9.1,12:36,31,,,,rehab,
5/20/21,113,,14.2,12:39,32,,,,rehab,
5/20/21,105,,9.5,12:44,30,,,,rehab,no tail
5/20/21,114,,10.5,12:46,29,,,,rehab,
5/20/21,101,,11.7,12:49,30,,,,rehab,
5/20/21,117,,12.9,12:53,28,,,,rehab,
5/20/21,102,,11.5,12:55,31,,,,rehab,
5/20/21,103,,14.7,12:59,30,,,,rehab,
5/18/21,122,R,10.7,8:58,23,29,,,exp,
5/18/21,108,R,9.9,9:02,24,40,,Y,exp,hemolyzed
5/18/21,114,R,9.8,9:07,25,33,,,exp,
5/18/21,101,R,10.1,9:11,23,36,373.5,,exp,
5/18/21,117,R,11.9,9:16,23,33,339.3333333,,exp,
5/18/21,103,R,14.6,9:20,22,32,342.6666667,,exp,
5/18/21,109,R,8.9,9:22,23,32,346,,exp,
5/18/21,102,R,12.4,9:28,23,21,332.3333333,,exp,
5/18/21,105,R,9.7,9:31,23,16,343,,exp,
5/18/21,113,R,12.1,9:34,23,28,330.3333333,,exp,
5/18/21,104,R,12.1,9:39,23,35,325.6666667,,exp,
5/18/21,118,R,9.3,9:43,22,26,330.5,,exp,
