Date;Time;Pyranometer_W_m;Temperature_F;Wind_Speed_mph;RH_percent
4/5/21;12:00:00 AM;0.1;50.6;2.4;100.0
4/5/21;12:15:00 AM;0.0;50.3;2.7;100.0
4/5/21;12:30:00 AM;0.0;50.0;1.1;100.0
4/5/21;12:45:00 AM;0.2;50.0;1.9;100.0
4/5/21;1:00:00 AM;0.2;50.0;2.7;100.0
4/5/21;1:15:00 AM;0.0;49.8;1.9;100.0
4/5/21;1:30:00 AM;0.0;49.6;2.1;100.0
4/5/21;1:45:00 AM;0.0;49.5;2.0;100.0
4/5/21;2:00:00 AM;0.2;49.5;2.9;100.0
4/5/21;2:15:00 AM;0.1;49.4;3.0;100.0
4/5/21;2:30:00 AM;0.0;49.2;3.1;100.0
4/5/21;2:45:00 AM;0.0;48.7;3.2;100.0
4/5/21;3:00:00 AM;0.0;48.0;3.6;100.0
4/5/21;3:15:00 AM;0.0;47.6;2.5;100.0
4/5/21;3:30:00 AM;0.0;46.8;1.6;100.0
4/5/21;3:45:00 AM;0.0;46.4;0.9;100.0
4/5/21;4:00:00 AM;0.5;46.6;1.3;100.0
4/5/21;4:15:00 AM;1.0;48.0;2.2;100.0
4/5/21;4:30:00 AM;0.7;48.4;2.7;100.0
4/5/21;4:45:00 AM;0.6;48.3;3.3;100.0
4/5/21;5:00:00 AM;0.3;48.4;2.7;100.0
4/5/21;5:15:00 AM;0.4;48.3;2.5;100.0
4/5/21;5:30:00 AM;0.5;48.4;3.4;100.0
4/5/21;5:45:00 AM;0.4;48.5;3.4;100.0
4/5/21;6:00:00 AM;0.2;48.4;2.7;100.0
4/5/21;6:15:00 AM;0.1;48.4;2.4;100.0
4/5/21;6:30:00 AM;0.1;48.5;2.8;100.0
4/5/21;6:45:00 AM;0.5;48.3;2.5;100.0
4/5/21;7:00:00 AM;6.6;47.5;2.2;100.0
4/5/21;7:15:00 AM;20.3;46.7;2.4;100.0
4/5/21;7:30:00 AM;41.2;46.6;2.1;100.0
4/5/21;7:45:00 AM;48.8;46.7;1.0;100.0
4/5/21;8:00:00 AM;152.7;47.9;2.6;99.9
4/5/21;8:15:00 AM;242.5;49.8;4.5;95.0
4/5/21;8:30:00 AM;306.3;50.7;6.0;89.3
4/5/21;8:45:00 AM;366.2;51.0;6.9;87.5
4/5/21;9:00:00 AM;426.3;52.3;6.1;84.6
4/5/21;9:15:00 AM;487.0;52.8;6.9;81.8
4/5/21;9:30:00 AM;539.3;53.9;6.7;78.8
4/5/21;9:45:00 AM;602.9;55.3;6.4;74.9
4/5/21;10:00:00 AM;657.5;56.7;5.6;71.7
4/5/21;10:15:00 AM;706.9;58.1;4.2;68.4
4/5/21;10:30:00 AM;747.5;59.2;5.3;65.9
4/5/21;10:45:00 AM;773.3;60.2;3.2;65.7
4/5/21;11:00:00 AM;765.3;60.2;3.7;66.7
4/5/21;11:15:00 AM;863.0;61.2;3.5;67.0
4/5/21;11:30:00 AM;865.7;61.9;4.7;66.8
4/5/21;11:45:00 AM;864.3;60.0;7.1;68.7
4/5/21;12:00:00 PM;928.1;59.6;6.9;70.7
4/5/21;12:15:00 PM;954.8;60.8;5.1;69.6
4/5/21;12:30:00 PM;949.8;62.1;4.6;68.0
