Date;Time;Pyranometer 0-2000 W/m² (W/m²);Temperature (°F);Wind Speed (ave) (mph);Relative Humidity (% RH)
5/3/21;12:00:00 AM;0.0;48.5;0.1;100.0
5/3/21;12:15:00 AM;0.0;48.5;0.1;100.0
5/3/21;12:30:00 AM;0.0;49.6;0.1;100.0
5/3/21;12:45:00 AM;0.0;49.8;0.1;100.0
5/3/21;1:00:00 AM;0.0;49.2;0.1;100.0
5/3/21;1:15:00 AM;0.0;48.6;0.1;100.0
5/3/21;1:30:00 AM;0.0;47.9;0.1;100.0
5/3/21;1:45:00 AM;0.0;48.0;0.1;100.0
5/3/21;2:00:00 AM;0.0;47.6;0.1;100.0
5/3/21;2:15:00 AM;0.0;47.1;0.1;100.0
5/3/21;2:30:00 AM;0.0;46.7;0.1;100.0
5/3/21;2:45:00 AM;0.0;46.1;0.1;100.0
5/3/21;3:00:00 AM;0.0;45.6;0.1;100.0
5/3/21;3:15:00 AM;0.0;45.5;0.1;100.0
5/3/21;3:30:00 AM;0.0;45.4;0.1;100.0
5/3/21;3:45:00 AM;0.0;45.2;0.1;100.0
5/3/21;4:00:00 AM;0.0;45.8;0.1;100.0
5/3/21;4:15:00 AM;0.0;45.7;0.1;100.0
5/3/21;4:30:00 AM;0.0;46.0;0.1;100.0
5/3/21;4:45:00 AM;0.0;46.5;0.1;100.0
5/3/21;5:00:00 AM;0.0;46.7;0.1;100.0
5/3/21;5:15:00 AM;0.0;46.1;1.7;100.0
5/3/21;5:30:00 AM;0.0;45.9;0.7;100.0
5/3/21;5:45:00 AM;0.0;45.9;0.1;100.0
5/3/21;6:00:00 AM;0.3;45.7;0.3;100.0
5/3/21;6:15:00 AM;2.4;45.7;0.5;100.0
5/3/21;6:30:00 AM;8.8;45.6;0.1;100.0
5/3/21;6:45:00 AM;16.7;45.0;0.1;100.0
5/3/21;7:00:00 AM;26.2;45.0;0.5;100.0
5/3/21;7:15:00 AM;35.5;45.4;0.1;100.0
5/3/21;7:30:00 AM;144.5;46.6;0.1;100.0
5/3/21;7:45:00 AM;228.7;50.2;0.2;100.0
5/3/21;8:00:00 AM;284.1;51.9;1.2;100.0
5/3/21;8:15:00 AM;342.8;54.3;1.1;99.1
5/3/21;8:30:00 AM;405.2;56.7;2.7;88.7
5/3/21;8:45:00 AM;462.8;60.5;1.9;78.4
5/3/21;9:00:00 AM;529.4;66.2;4.4;58.4
5/3/21;9:15:00 AM;584.7;69.5;4.6;49.4
5/3/21;9:30:00 AM;640.2;70.9;4.7;47.4
5/3/21;9:45:00 AM;692.7;72.2;4.6;44.5
5/3/21;10:00:00 AM;740.0;73.2;4.5;43.0
5/3/21;10:15:00 AM;785.0;74.5;4.3;40.3
5/3/21;10:30:00 AM;830.0;75.3;5.2;39.4
5/3/21;10:45:00 AM;868.6;76.3;4.0;38.2
5/3/21;11:00:00 AM;900.1;78.4;3.2;38.3
5/3/21;11:15:00 AM;926.0;78.1;3.4;40.6
5/3/21;11:30:00 AM;956.9;78.1;4.7;41.8
5/3/21;11:45:00 AM;978.8;77.0;6.2;45.9
5/3/21;12:00:00 PM;998.7;75.0;4.7;49.5
5/3/21;12:15:00 PM;1016.5;73.9;4.9;51.3
5/3/21;12:30:00 PM;1030.3;73.6;4.9;51.8
5/3/21;12:45:00 PM;1037.4;74.4;4.5;51.4
5/3/21;1:00:00 PM;1037.5;74.4;5.5;51.4
5/3/21;1:15:00 PM;1034.4;74.2;6.4;51.5
5/3/21;1:30:00 PM;1026.3;73.3;6.9;52.4
5/3/21;1:45:00 PM;1015.3;73.8;5.3;51.9
5/3/21;2:00:00 PM;999.3;74.4;4.9;51.1
5/3/21;2:15:00 PM;982.8;74.6;4.6;50.6
5/3/21;2:30:00 PM;956.6;74.3;5.6;50.9
5/3/21;2:45:00 PM;933.4;74.4;5.4;51.4
5/3/21;3:00:00 PM;903.1;75.3;5.0;49.7
5/3/21;3:15:00 PM;870.2;75.5;4.7;48.4
5/3/21;3:30:00 PM;832.6;76.9;5.1;45.1
5/3/21;3:45:00 PM;793.9;77.7;4.9;42.3
5/3/21;4:00:00 PM;751.1;77.2;5.2;40.7
5/3/21;4:15:00 PM;705.6;76.6;5.0;41.3
