Date;Time;Temp_F;Precip_inches;RH_percent
3/27/21;12:00:00 AM;44.2;0.000;98.9
3/27/21;12:15:00 AM;43.6;0.000;99.7
3/27/21;12:30:00 AM;43.2;0.000;100.0
3/27/21;12:45:00 AM;42.9;0.000;100.0
3/27/21;1:00:00 AM;42.8;0.000;100.0
3/27/21;1:15:00 AM;42.8;0.000;100.0
3/27/21;1:30:00 AM;43.1;0.000;100.0
3/27/21;1:45:00 AM;43.2;0.000;100.0
3/27/21;2:00:00 AM;43.3;0.000;99.6
3/27/21;2:15:00 AM;43.4;0.000;98.7
3/27/21;2:30:00 AM;43.9;0.000;98.1
3/27/21;2:45:00 AM;44.3;0.000;96.6
3/27/21;3:00:00 AM;43.4;0.000;96.9
3/27/21;3:15:00 AM;43.0;0.000;98.4
3/27/21;3:30:00 AM;42.3;0.000;99.3
3/27/21;3:45:00 AM;42.7;0.000;100.0
3/27/21;4:00:00 AM;43.5;0.000;99.4
3/27/21;4:15:00 AM;43.4;0.000;97.4
3/27/21;4:30:00 AM;43.7;0.000;96.2
3/27/21;4:45:00 AM;44.3;0.000;94.7
3/27/21;5:00:00 AM;46.2;0.000;87.3
3/27/21;5:15:00 AM;51.3;0.000;67.5
3/27/21;5:30:00 AM;56.8;0.000;50.1
3/27/21;5:45:00 AM;56.0;0.000;50.7
3/27/21;6:00:00 AM;54.2;0.000;54.4
3/27/21;6:15:00 AM;52.2;0.000;60.0
3/27/21;6:30:00 AM;48.1;0.000;71.7
3/27/21;6:45:00 AM;45.9;0.000;81.4
3/27/21;7:00:00 AM;45.4;0.000;84.3
3/27/21;7:15:00 AM;44.6;0.000;87.2
3/27/21;7:30:00 AM;44.9;0.000;88.5
3/27/21;7:45:00 AM;44.7;0.000;88.8
3/27/21;8:00:00 AM;44.5;0.000;90.3
3/27/21;8:15:00 AM;45.9;0.000;91.5
3/27/21;8:30:00 AM;50.8;0.000;86.1
3/27/21;8:45:00 AM;54.5;0.000;75.0
3/27/21;9:00:00 AM;54.7;0.000;67.6
3/27/21;9:15:00 AM;56.6;0.000;64.0
3/27/21;9:30:00 AM;60.5;0.000;56.7
3/27/21;9:45:00 AM;62.2;0.000;50.8
3/27/21;10:00:00 AM;64.9;0.000;48.0
3/27/21;10:15:00 AM;64.6;0.000;47.9
3/27/21;10:30:00 AM;65.7;0.000;45.8
3/27/21;10:45:00 AM;67.4;0.000;43.2
3/27/21;11:00:00 AM;68.4;0.000;41.0
3/27/21;11:15:00 AM;70.7;0.000;38.3
3/27/21;11:30:00 AM;71.8;0.000;38.1
3/27/21;11:45:00 AM;73.0;0.000;36.9
3/27/21;12:00:00 PM;73.6;0.000;39.6
3/27/21;12:15:00 PM;73.4;0.000;39.2
3/27/21;12:30:00 PM;74.3;0.000;37.9
3/27/21;12:45:00 PM;74.9;0.000;36.9
3/27/21;1:00:00 PM;75.8;0.000;36.5
3/27/21;1:15:00 PM;75.7;0.000;35.5
3/27/21;1:30:00 PM;75.6;0.000;35.3
3/27/21;1:45:00 PM;75.5;0.000;36.4
3/27/21;2:00:00 PM;75.5;0.000;37.5
3/27/21;2:15:00 PM;75.3;0.000;38.6
3/27/21;2:30:00 PM;74.9;0.000;39.6
3/27/21;2:45:00 PM;74.4;0.000;41.9
3/27/21;3:00:00 PM;73.5;0.000;42.1
3/27/21;3:15:00 PM;73.4;0.000;41.5
3/27/21;3:30:00 PM;72.7;0.000;40.8
3/27/21;3:45:00 PM;72.2;0.000;40.2
3/27/21;4:00:00 PM;71.5;0.000;40.8
3/27/21;4:15:00 PM;71.0;0.000;41.2
3/27/21;4:30:00 PM;70.5;0.000;40.5
3/27/21;4:45:00 PM;69.8;0.000;40.1
3/27/21;5:00:00 PM;69.4;0.000;40.6
3/27/21;5:15:00 PM;68.5;0.000;40.5
3/27/21;5:30:00 PM;67.9;0.000;42.1
3/27/21;5:45:00 PM;68.1;0.000;43.8
3/27/21;6:00:00 PM;67.5;0.000;44.0
3/27/21;6:15:00 PM;66.7;0.000;45.6
3/27/21;6:30:00 PM;65.1;0.000;48.7
3/27/21;6:45:00 PM;63.4;0.000;53.0
3/27/21;7:00:00 PM;62.0;0.000;57.0
3/27/21;7:15:00 PM;60.6;0.000;61.1
3/27/21;7:30:00 PM;59.7;0.000;63.3
3/27/21;7:45:00 PM;58.3;0.000;67.9
3/27/21;8:00:00 PM;56.4;0.000;73.1
3/27/21;8:15:00 PM;54.1;0.000;76.1
3/27/21;8:30:00 PM;53.2;0.000;79.2
3/27/21;8:45:00 PM;52.7;0.000;80.2
3/27/21;9:00:00 PM;52.1;0.000;79.6
3/27/21;9:15:00 PM;51.3;0.000;81.4
3/27/21;9:30:00 PM;50.2;0.000;83.0
3/27/21;9:45:00 PM;49.4;0.000;85.4
3/27/21;10:00:00 PM;49.2;0.000;86.8
3/27/21;10:15:00 PM;49.2;0.000;86.8
3/27/21;10:30:00 PM;49.1;0.000;86.8
3/27/21;10:45:00 PM;48.6;0.000;87.9
3/27/21;11:00:00 PM;48.6;0.000;88.4
3/27/21;11:15:00 PM;48.1;0.000;88.7
3/27/21;11:30:00 PM;47.4;0.000;89.6
3/27/21;11:45:00 PM;46.8;0.000;91.3
3/28/21;12:00:00 AM;46.6;0.000;93.0
3/28/21;12:15:00 AM;46.4;0.000;93.7
3/28/21;12:30:00 AM;45.9;0.000;94.8
3/28/21;12:45:00 AM;45.4;0.000;94.9
3/28/21;1:00:00 AM;45.2;0.000;95.9
3/28/21;1:15:00 AM;45.4;0.000;96.1
3/28/21;1:30:00 AM;45.8;0.000;96.9
3/28/21;1:45:00 AM;50.1;0.000;89.1
3/28/21;2:00:00 AM;50.6;0.000;86.5
3/28/21;2:15:00 AM;49.3;0.000;87.5
3/28/21;2:30:00 AM;47.9;0.000;90.9
3/28/21;2:45:00 AM;47.2;0.000;93.7
3/28/21;3:00:00 AM;46.4;0.000;95.6
3/28/21;3:15:00 AM;45.5;0.000;97.6
3/28/21;3:30:00 AM;45.0;0.000;99.5
3/28/21;3:45:00 AM;45.0;0.000;100.0
3/28/21;4:00:00 AM;45.3;0.000;100.0
3/28/21;4:15:00 AM;46.0;0.000;100.0
3/28/21;4:30:00 AM;46.2;0.000;100.0
3/28/21;4:45:00 AM;46.1;0.000;100.0
3/28/21;5:00:00 AM;46.3;0.000;100.0
3/28/21;5:15:00 AM;45.6;0.000;100.0
3/28/21;5:30:00 AM;45.0;0.000;100.0
3/28/21;5:45:00 AM;44.8;0.000;100.0
3/28/21;6:00:00 AM;45.0;0.000;100.0
3/28/21;6:15:00 AM;44.9;0.000;100.0
3/28/21;6:30:00 AM;44.9;0.000;100.0
3/28/21;6:45:00 AM;44.5;0.000;100.0
3/28/21;7:00:00 AM;44.4;0.000;100.0
3/28/21;7:15:00 AM;44.0;0.000;100.0
3/28/21;7:30:00 AM;44.0;0.000;100.0
3/28/21;7:45:00 AM;44.2;0.000;100.0
3/28/21;8:00:00 AM;45.0;0.000;100.0
3/28/21;8:15:00 AM;47.4;0.000;100.0
3/28/21;8:30:00 AM;50.0;0.000;99.9
3/28/21;8:45:00 AM;52.5;0.000;92.3
3/28/21;9:00:00 AM;54.4;0.000;83.9
3/28/21;9:15:00 AM;57.0;0.000;78.1
3/28/21;9:30:00 AM;58.9;0.000;73.2
3/28/21;9:45:00 AM;61.0;0.000;68.4
3/28/21;10:00:00 AM;63.5;0.000;63.1
3/28/21;10:15:00 AM;65.5;0.000;58.5
3/28/21;10:30:00 AM;67.7;0.000;54.3
3/28/21;10:45:00 AM;70.2;0.000;50.0
3/28/21;11:00:00 AM;74.6;0.000;39.5
3/28/21;11:15:00 AM;75.5;0.000;39.1
3/28/21;11:30:00 AM;78.2;0.000;33.6
3/28/21;11:45:00 AM;79.2;0.000;32.0
3/28/21;12:00:00 PM;80.2;0.000;30.9
3/28/21;12:15:00 PM;80.0;0.000;29.6
3/28/21;12:30:00 PM;80.4;0.000;39.0
3/28/21;12:45:00 PM;79.8;0.000;41.6
3/28/21;1:00:00 PM;79.8;0.000;40.5
3/28/21;1:15:00 PM;80.4;0.000;39.2
3/28/21;1:30:00 PM;80.5;0.000;40.9
3/28/21;1:45:00 PM;78.9;0.000;46.1
3/28/21;2:00:00 PM;76.0;0.000;50.4
3/28/21;2:15:00 PM;74.2;0.000;51.1
3/28/21;2:30:00 PM;73.0;0.000;50.6
3/28/21;2:45:00 PM;72.4;0.000;48.9
3/28/21;3:00:00 PM;72.6;0.000;47.1
3/28/21;3:15:00 PM;72.4;0.000;46.5
3/28/21;3:30:00 PM;73.0;0.000;45.4
3/28/21;3:45:00 PM;72.8;0.000;46.0
3/28/21;4:00:00 PM;73.4;0.000;48.7
3/28/21;4:15:00 PM;73.4;0.000;48.9
