"","date","Time","individual_ID","region","TEWL_g_m2h","ambient_temp_C","ambient_RH_percent","CEWL_date_time","ambient_temp_K","e_s_kPa","e_a_kPa","VPD_kPa"
"1",2021-04-05,"13:24:15","01","dors",14.86,23.2,41.6,2021-04-05 13:24:15,296.35,2.91772640960958,1.21377418639759,1.703952223212
"2",2021-04-05,"13:26:54","01","vent",12.81,23.2,41.5,2021-04-05 13:26:54,296.35,2.91772640960958,1.21085645998798,1.70686994962161
"3",2021-04-05,"13:28:40","01","dewl",13.17,23.2,41.7,2021-04-05 13:28:40,296.35,2.91772640960958,1.2166919128072,1.70103449680239
"4",2021-04-05,"13:29:36","01","head",26.68,23.2,41.8,2021-04-05 13:29:36,296.35,2.91772640960958,1.21960963921681,1.69811677039278
"5",2021-04-05,"13:31:03","01","mite",11.35,23.2,41.6,2021-04-05 13:31:03,296.35,2.91772640960958,1.21377418639759,1.703952223212
"6",2021-04-05,"13:33:31","02","dors",26.29,23.3,41.6,2021-04-05 13:33:31,296.45,2.93577304014581,1.22128158470066,1.71449145544515
"7",2021-04-05,"13:34:16","02","vent",32.64,23.2,41.6,2021-04-05 13:34:16,296.35,2.91772640960958,1.21377418639759,1.703952223212
"8",2021-04-05,"13:36:19","02","dewl",9.6,23.2,41.7,2021-04-05 13:36:19,296.35,2.91772640960958,1.2166919128072,1.70103449680239
"9",2021-04-05,"13:37:05","02","head",26.83,23.1,41.9,2021-04-05 13:37:05,296.25,2.89977864320875,1.21500725150447,1.68477139170428
"10",2021-04-05,"13:39:13","02","mite",17.82,23.1,41.8,2021-04-05 13:39:13,296.25,2.89977864320875,1.21210747286126,1.68767117034749
"11",2021-04-05,"13:42:43","03","dors",26.35,23.2,41.6,2021-04-05 13:42:43,296.35,2.91772640960958,1.21377418639759,1.703952223212
"12",2021-04-05,"13:44:19","03","vent",20.94,23.2,41.4,2021-04-05 13:44:19,296.35,2.91772640960958,1.20793873357837,1.70978767603122
"13",2021-04-05,"13:46:19","03","dewl",21.75,23.2,41.5,2021-04-05 13:46:19,296.35,2.91772640960958,1.21085645998798,1.70686994962161
"14",2021-04-05,"13:47:26","03","head",28.91,23.3,41.3,2021-04-05 13:47:26,296.45,2.93577304014581,1.21247426558022,1.72329877456559
"15",2021-04-05,"13:48:17","03","mite",37.05,23.3,41.3,2021-04-05 13:48:17,296.45,2.93577304014581,1.21247426558022,1.72329877456559
"16",2021-04-05,"13:51:33","04","dors",21.52,23.3,41.4,2021-04-05 13:51:33,296.45,2.93577304014581,1.21541003862037,1.72036300152545
"17",2021-04-05,"13:55:58","04","vent",12.82,23.3,41.2,2021-04-05 13:55:58,296.45,2.93577304014581,1.20953849254007,1.72623454760574
"18",2021-04-05,"13:57:52","04","dewl",13.33,23.4,41,2021-04-05 13:57:52,296.55,2.95391900803567,1.21110679329462,1.74281221474104
"19",2021-04-05,"13:58:40","04","head",56.04,23.4,41,2021-04-05 13:58:40,296.55,2.95391900803567,1.21110679329462,1.74281221474104
"20",2021-04-05,"13:59:57","04","mite",34.17,23.3,41.3,2021-04-05 13:59:57,296.45,2.93577304014581,1.21247426558022,1.72329877456559
"21",2021-04-05,"14:01:47","05","dors",46.24,23.4,41.1,2021-04-05 14:01:47,296.55,2.95391900803567,1.21406071230266,1.73985829573301
"22",2021-04-05,"14:04:01","05","vent",14.64,23.3,41.2,2021-04-05 14:04:01,296.45,2.93577304014581,1.20953849254007,1.72623454760574
"23",2021-04-05,"14:05:17","05","dewl",21.58,23.2,41.2,2021-04-05 14:05:17,296.35,2.91772640960958,1.20210328075915,1.71562312885044
"24",2021-04-05,"14:06:08","05","head",60.16,23.2,41.3,2021-04-05 14:06:08,296.35,2.91772640960958,1.20502100716876,1.71270540244083
"25",2021-04-05,"14:08:41","05","mite",15.05,23.2,41.3,2021-04-05 14:08:41,296.35,2.91772640960958,1.20502100716876,1.71270540244083
"26",2021-04-05,"14:12:34","06","dors",14.91,23.2,41.2,2021-04-05 14:12:34,296.35,2.91772640960958,1.20210328075915,1.71562312885044
"27",2021-04-05,"14:14:27","06","vent",19.44,23.1,41.4,2021-04-05 14:14:27,296.25,2.89977864320875,1.20050835828842,1.69927028492033
"28",2021-04-05,"14:16:24","06","dewl",15.79,23.3,40.9,2021-04-05 14:16:24,296.45,2.93577304014581,1.20073117341964,1.73504186672617
"29",2021-04-05,"14:18:29","06","head",22.06,23.1,41.3,2021-04-05 14:18:29,296.25,2.89977864320875,1.19760857964521,1.70217006356354
"30",2021-04-05,"14:20:03","06","mite",12.54,23.1,41.3,2021-04-05 14:20:03,296.25,2.89977864320875,1.19760857964521,1.70217006356354
"31",2021-04-05,"14:22:49","07","dors",19.76,23.2,41.3,2021-04-05 14:22:49,296.35,2.91772640960958,1.20502100716876,1.71270540244083
"32",2021-04-05,"14:23:39","07","vent",39.52,23.3,41.1,2021-04-05 14:23:39,296.45,2.93577304014581,1.20660271949993,1.72917032064588
"33",2021-04-05,"14:25:57","07","dewl",21.2,23.3,41.3,2021-04-05 14:25:57,296.45,2.93577304014581,1.21247426558022,1.72329877456559
"34",2021-04-05,"14:26:39","07","head",32.21,23.4,41.4,2021-04-05 14:26:39,296.55,2.95391900803567,1.22292246932677,1.7309965387089
"35",2021-04-05,"14:29:09","07","mite",21.15,23.2,41.7,2021-04-05 14:29:09,296.35,2.91772640960958,1.2166919128072,1.70103449680239
