"","date","collect_time","individual_ID","SVL_mm","mass_g","sex_M_F","gravid_Y_N","blood_sample_eye","hematocrit_percent","osmolality_mmol_kg","cloacal_temp_C","processing_time","hemolyzed","collect_date_time","hold_time"
"1",2021-04-05,2021-06-22 10:40:00,1,59,8,"F","N","R",NA,331,22,2021-06-22 13:33:00,"N",2021-04-05 10:40:00,173
"2",2021-04-05,2021-06-22 10:55:00,2,70,13.1,"M",NA,"R",NA,337,26,2021-06-22 13:31:00,"N",2021-04-05 10:55:00,156
"3",2021-04-05,2021-06-22 10:25:00,3,69,12.2,"M",NA,"R",NA,309,26,2021-06-22 13:39:00,"N",2021-04-05 10:25:00,194
"4",2021-04-05,2021-06-22 10:38:00,4,48,4.2,"M",NA,"R",NA,341,26,2021-06-22 14:02:00,"Y",2021-04-05 10:38:00,204
"5",2021-04-05,2021-06-22 10:17:00,5,50,4.1,"M",NA,"R",NA,354,25,2021-06-22 13:59:00,"Y",2021-04-05 10:17:00,222
"6",2021-04-05,2021-06-22 10:47:00,6,48,4.6,"M",NA,"L",NA,355,24,2021-06-22 14:06:00,"N",2021-04-05 10:47:00,199
"7",2021-04-05,2021-06-22 10:39:00,7,63,9.4,"F","N","R",NA,321,NA,2021-06-22 14:13:00,"N",2021-04-05 10:39:00,214
"8",2021-04-05,2021-06-22 10:42:00,8,42,2.3,"M",NA,"R",NA,304,23,2021-06-22 14:20:00,"N",2021-04-05 10:42:00,218
"9",2021-04-05,2021-06-22 13:27:00,9,46,3.1,"F","N","L",NA,NA,23,2021-06-22 14:43:00,NA,2021-04-05 13:27:00,76
"10",2021-04-05,2021-06-22 13:40:00,10,68,12.5,"M",NA,"R",NA,324,22,2021-06-22 15:04:00,"N",2021-04-05 13:40:00,84
"11",2021-04-05,2021-06-22 13:39:00,11,65,10,"M",NA,"R",NA,310,23,2021-06-22 15:14:00,"N",2021-04-05 13:39:00,95
